Nutrient,Amount,Unit,DV
Calories,100,,
"Vitamin A, RAE",132.07,mcg,15 %
"Carotene, alpha",397.76,mcg,
"Carotene, beta",1323.78,mcg,
"Cryptoxanthin, beta",90.31,mcg,
"Lutein + zeaxanthin",162.37,mcg,
"Lycopene",2239.41,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.341,mg,28 %
"Riboflavin [Vitamin B2]",0.335,mg,26 %
"Niacin [Vitamin B3]",2.924,mg,18 %
"Pantothenic acid [Vitamin B5]",0.49,mg,10 %
"Vitamin B6",0.204,mg,12 %
"Vitamin B12 [Cobalamin]",0.01,mcg,0 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",94.15,mcg,24 %
"Folate, food",35.1,mcg,
"Folic acid",32.89,mcg,
"Vitamin C [Ascorbic acid]",13.6,mg,15 %
"Vitamin D",0.03,mcg,0 %
"Vitamin D2",0.03,mcg,
"Vitamin D3",0,mcg,
"Vitamin E (alpha-tocopherol)",1.29,mg,9 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",1.29,mg,
"Tocopherol, beta",0.02,mg,
"Tocopherol, delta",0.11,mg,
"Tocopherol, gamma",1.24,mg,
"Tocotrienol, alpha",0.08,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.04,mg,
"Vitamin K",10.8,mcg,9 %
"Vitamin K1 [Phylloquinone]",10.1,mcg,
"Vitamin K2 [Menaquinone]",0,mcg,
"Dihydrophylloquinone",0.2,mcg,
"Betaine",1.7,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",30.7,mg,6 %
"Calcium",55.95,mg,4 %
"Copper",0.35,mg,39 %
"Fluoride",0.5,mcg,
"Iodine",0,mcg,0 %
"Iron",2.3,mg,13 %
"Magnesium",48.22,mg,11 %
"Manganese",0.659,mg,29 %
"Phosphorus",162.48,mg,13 %
"Potassium",348.88,mg,7 %
"Selenium",5.08,mcg,9 %
"Sodium",198.49,mg,9 %
"Zinc",1.52,mg,14 %
"Protein",9.9,g,20 %
"Alanine",0.438,g,
"Arginine",0.75,g,
"Aspartic acid",1.001,g,
"Cystine",0.078,g,
"Cysteine",0.04,g,
"Glutamic acid",1.503,g,
"Glycine",0.342,g,
"Histidine",0.194,g,17 %
"Hydroxyproline",0,g,
"Isoleucine",0.342,g,22 %
"Leucine",0.567,g,17 %
"Lysine",0.51,g,16 %
"Methionine",0.138,g,
"Phenylalanine",0.356,g,
"Proline",0.355,g,
"Serine",0.349,g,
"Threonine",0.366,g,22 %
"Tryptophan",0.077,g,19 %
"Tyrosine",0.206,g,
"Valine",0.434,g,22 %
"Phenylalanine + Tyrosine",0.562,g,21 %
"Methionine + Cysteine",0.256,g,17 %
"Carbohydrate",8.07,g,3 %
"Fiber",2.76,g,10 %
"Starch",0.16,g,
"Sugars",3.32,g,
"Fructose",0.72,g,
"Galactose",0,g,
"Glucose",0.89,g,
"Lactose",0,g,
"Maltose",0.04,g,
"Sucrose",0.6,g,
"Net carbs",5.31,g,
"0.01 g",,undefined,0.00
"Fat",4.165,g,5 %
"Saturated fatty acids",0.44,g,2 %
"Butanoic acid",0,g,
"Decanoic acid",0,g,
"Docosanoic acid",0.001,g,
"Dodecanoic acid",0.002,g,
"Eicosanoic acid",0.004,g,
"Heptadecanoic acid",0,g,
"Hexadecanoic acid",0.294,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.102,g,
"Octanoic acid",0.001,g,
"Pentadecanoic acid",0,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.004,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",0.626,g,
"Cis-octadecenoic acid",0.059,g,
"Docosenoic acid",0,g,
"Eicosenoic acid",0.007,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.002,g,
"Octadecenoic acid",0.532,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",2.814,g,
"α-linolenic acid n-3 (ALA)",0.01,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0,g,
"Octadecadienoic acid",2.219,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.511,g,
"Uncosapentaenoic acid",0,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Beta-sitosterol",4.58,mg,
"Campesterol",0.58,mg,
"Cholesterol",0,mg,0 %
"Phytosterols",3.64,mg,
"Stigmasterol",0,mg,
"Alcohol, ethyl",0,g,
"Ash",1.09,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",68.88,g,
