Ingredient,Amount,Unit,Description
"Frozen cauliflower, thawed",454,g,"1 lb"
"Carrots",227,g,"4 large or 16 baby"
"Onion",110,g,"1 medium"
"White mushrooms",340,g,"12 oz"
"Walnuts",117,g,"1 cup, chopped"
"Tomato paste, canned",170,g,"6 oz"
"Minced garlic",28,g,"2 tbsp"
"Low sodium soy sauce",28,g,"2 tbsp"
"Dijon mustard",30,g,"2 tbsp"
"Chili powder",24,g,"3 tbsp"
"Paprika",7,g,"1 tbsp"
"Garlic powder",9,g,"1 tbsp"
"Cumin, ground",6,g,"2 tsp"
"Oregano, dried",2,g,"2 tsp"
"Thyme, dried",2,g,"2 tsp"
"Black pepper, ground",5,g,"2 tsp"
"Whey protein powder, unflavored",180,g,"6 scoop"
"Salt",6,g,"1 tsp"
Servings,6
