Nutrient,Amount,Unit,DV
Calories,472,,
"Vitamin A, RAE",7.13,mcg,1 %
"Carotene, alpha",27.52,mcg,
"Carotene, beta",73.32,mcg,
"Cryptoxanthin, beta",1.13,mcg,
"Lutein + zeaxanthin",106.12,mcg,
"Lycopene",0,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.363,mg,30 %
"Riboflavin [Vitamin B2]",0.525,mg,40 %
"Niacin [Vitamin B3]",5.93,mg,37 %
"Pantothenic acid [Vitamin B5]",1.461,mg,29 %
"Vitamin B6",0.646,mg,38 %
"Vitamin B12 [Cobalamin]",0.36,mcg,15 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",67.51,mcg,17 %
"Folate, food",68.52,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",17.1,mg,19 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",1.85,mg,12 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",1.85,mg,
"Tocopherol, beta",0.01,mg,
"Tocopherol, delta",0.32,mg,
"Tocopherol, gamma",0.48,mg,
"Tocotrienol, alpha",0.07,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",7.8,mcg,6 %
"Vitamin K1 [Phylloquinone]",7.8,mcg,
"Vitamin K2 [Menaquinone]",0,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0.2,mg,
"Biotin [Vitamin B7]",0,mcg,0 %
"Choline",63.6,mg,12 %
"Calcium",499.27,mg,38 %
"Copper",0.63,mg,70 %
"Fluoride",2.4,mcg,
"Iodine",0,mcg,0 %
"Iron",3.79,mg,21 %
"Magnesium",233.45,mg,56 %
"Manganese",2.017,mg,88 %
"Phosphorus",557.1,mg,45 %
"Potassium",921.91,mg,20 %
"Selenium",21,mcg,38 %
"Sodium",215.82,mg,9 %
"Zinc",3.57,mg,32 %
"Protein",25.65,g,51 %
"Alanine",0.743,g,
"Arginine",0.716,g,
"Aspartic acid",1.705,g,
"Cystine",0.327,g,
"Cysteine",0.26,g,
"Glutamic acid",2.741,g,
"Glycine",0.412,g,
"Histidine",0.407,g,36 %
"Hydroxyproline",0,g,
"Isoleucine",0.858,g,55 %
"Leucine",1.624,g,47 %
"Lysine",1.349,g,43 %
"Methionine",0.331,g,
"Phenylalanine",0.617,g,
"Proline",1.159,g,
"Serine",0.906,g,
"Threonine",0.833,g,51 %
"Tryptophan",0.273,g,67 %
"Tyrosine",0.463,g,
"Valine",0.89,g,45 %
"Phenylalanine + Tyrosine",1.08,g,40 %
"Methionine + Cysteine",0.591,g,38 %
"Carbohydrate",58.7,g,21 %
"Fiber",14.91,g,53 %
"Starch",5.92,g,
"Sugars",18.76,g,
"Fructose",6.18,g,
"Galactose",0.01,g,
"Glucose",6.31,g,
"Lactose",0,g,
"Maltose",0.03,g,
"Sucrose",3.82,g,
"Net carbs",43.79,g,
"2.14 g",0.70 g,undefined,0.33
"Fat",18.807,g,24 %
"Saturated fatty acids",3.053,g,15 %
"Butanoic acid",0,g,
"Decanoic acid",0.001,g,
"Docosanoic acid",0.004,g,
"Dodecanoic acid",0.006,g,
"Eicosanoic acid",0.011,g,
"Heptadecanoic acid",0.008,g,
"Hexadecanoic acid",1.731,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.647,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0.004,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.013,g,
"Monounsaturated fatty acids",7.555,g,
"Cis-hexadecenoic acid",0,g,
"Cis-octadecenoic acid",0,g,
"Docosenoic acid",0.013,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.157,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.023,g,
"Octadecenoic acid",7.07,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.004,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",5.966,g,
"α-linolenic acid n-3 (ALA)",2.14,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Linoleic acid n-6 (LA)",0.7,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0.004,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",3.636,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",2.229,g,
"Trans-octadecadienoic acid",0,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0.017,g,
"Fatty acids, total trans-monoenoic",0,g,
"Fatty acids, total trans-polyenoic",0,g,
"Cholesterol",10,mg,3 %
"Phytosterols",17.61,mg,
"Alcohol, ethyl",0,g,
"Ash",2.52,g,
"Caffeine",12.42,mg,
"Theobromine",111.08,mg,
"Water",128.11,g,
