Ingredient,Amount,Unit,Description
"Black beans, drained and rinsed",260,g,"15.5 oz can"
"Sauerkraut juice",120,g,"1/2 cup"
"Tahini",64,g,"4 tbsp"
"Pickled ginger",60,g,"1/4 cup"
"Apple cider vinegar",30,g,"2 tbsp"
"Hot sauce",30,g,"2 tbsp"
"Honey",21,g,"1 tbsp"
"Liquid monk fruit",2.5,g,"1/2 tsp"
"Hemp hearts",40,g,"4 tbsp"
"Ground coffee, decaf",20,g,"1/4 cup"
"Chia seeds",12,g,"1 tbsp"
"Dried seaweed",2.5,g,"1 sheet"
"Paprika",10,g,"1 tbsp"
"Turmeric, ground",0.75,g,"1/4 tsp"
"Black pepper, ground",0.75,g,"1/4 tsp"
"Baking soda",6,g,"1 tsp"
Servings,12
