Nutrient,Amount,Unit,DV
Calories,74,,
"Vitamin A, RAE",11.58,mcg,1 %
"Carotene, alpha",0.66,mcg,
"Carotene, beta",138.34,mcg,
"Cryptoxanthin, beta",0.52,mcg,
"Lutein + zeaxanthin",2105.36,mcg,
"Lycopene",2.18,mcg,
"Retinol",0,mcg,
"Thiamin [Vitamin B1]",0.061,mg,5 %
"Riboflavin [Vitamin B2]",0.105,mg,8 %
"Niacin [Vitamin B3]",0.528,mg,3 %
"Pantothenic acid [Vitamin B5]",0.233,mg,5 %
"Vitamin B6",0.208,mg,12 %
"Vitamin B12 [Cobalamin]",0,mcg,0 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",28.81,mcg,7 %
"Folate, food",28.81,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",18.2,mg,20 %
"Vitamin D",0,mcg,0 %
"Vitamin E (alpha-tocopherol)",0.26,mg,2 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",0.26,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.04,mg,
"Tocotrienol, alpha",0,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0,mg,
"Vitamin K",27,mcg,22 %
"Vitamin K1 [Phylloquinone]",27,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",0.3,mg,
"Choline",11.5,mg,2 %
"Calcium",125.18,mg,10 %
"Copper",0.1,mg,11 %
"Fluoride",0.2,mcg,
"Iron",1.96,mg,11 %
"Magnesium",26.56,mg,6 %
"Manganese",0.388,mg,17 %
"Phosphorus",51.38,mg,4 %
"Potassium",313.71,mg,7 %
"Selenium",0.82,mcg,1 %
"Sodium",421.27,mg,18 %
"Zinc",0.51,mg,5 %
"Protein",4.82,g,10 %
"Alanine",0.082,g,
"Arginine",0.133,g,
"Aspartic acid",0.205,g,
"Cystine",0.019,g,
"Glutamic acid",0.229,g,
"Glycine",0.066,g,
"Histidine",0.034,g,3 %
"Hydroxyproline",0,g,
"Isoleucine",0.063,g,4 %
"Leucine",0.103,g,3 %
"Lysine",0.093,g,3 %
"Methionine",0.024,g,
"Phenylalanine",0.063,g,
"Proline",0.087,g,
"Serine",0.063,g,
"Threonine",0.043,g,3 %
"Tryptophan",0.015,g,4 %
"Tyrosine",0.047,g,
"Valine",0.08,g,4 %
"Phenylalanine + Tyrosine",0.11,g,4 %
"Methionine + Cysteine",0.024,g,2 %
"Carbohydrate",6.23,g,2 %
"Fiber",1.93,g,7 %
"Starch",0,g,
"Sugars",2.59,g,
"Fructose",1.37,g,
"Galactose",0,g,
"Glucose",1.06,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.13,g,
"Net carbs",4.3,g,
"0.06 g",0.03 g,undefined,0.50
"Fat",4.293,g,6 %
"Saturated fatty acids",1.858,g,9 %
"Butanoic acid",0,g,
"Decanoic acid",0.017,g,
"Docosanoic acid",0.004,g,
"Dodecanoic acid",0.006,g,
"Eicosanoic acid",0.001,g,
"Heptadecanoic acid",0.002,g,
"Hexadecanoic acid",0.071,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.018,g,
"Octanoic acid",0.003,g,
"Pentadecanoic acid",0.001,g,
"Tetracosanoic acid",0.003,g,
"Tetradecanoic acid",0.002,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",1.179,g,
"Cis-hexadecenoic acid",0.002,g,
"Cis-octadecenoic acid",0.021,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0,g,
"Heptadecenoic acid",0,g,
"Hexadecenoic acid",0.003,g,
"Octadecenoic acid",0.025,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.002,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0,g,
"Polyunsaturated fatty acids",0.286,g,
"α-linolenic acid n-3 (ALA)",0.06,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0,g,
"Linoleic acid n-6 (LA)",0.03,g,
"Docosahexaenoic n-3 acid (DHA)",0,g,
"Docosapentaenoic n-3 acid (DPA)",0,g,
"Docosatetraenoic acid",0,g,
"Eicosadienoic acid",0.001,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0,g,
"Eicosapentaenoic n-3 acid (EPA)",0,g,
"Eicosatetraenoic acid",0.001,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",0.043,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.068,g,
"Trans-octadecadienoic acid",0,g,
"Fatty acids, total trans",0,g,
"Fatty acids, total trans-monoenoic",0,g,
"Fatty acids, total trans-polyenoic",0,g,
"Cholesterol",3.75,mg,1 %
"Phytosterols",3.47,mg,
"Alcohol, ethyl",0,g,
"Ash",1.62,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",93.23,g,
