Ingredient,Amount,Unit,Description
"Chickpeas (garbanzo beans, bengal gram), drained solids, canned, mature seeds",253,g,"15.5oz can"
"Hot sauce by LOUISIANA",5,g,"1 tsp (5.0 ml) aprx"
"Spices, garlic powder",2,g,"0.5 tsp"
"Spices, onion powder",1,g,"0.5 tsp"
"Salt, table",0,g,"1 dash"
"Nuts, almonds",122,g,"1 cup"
"Soy sauce made from soy and wheat (shoyu), low sodium",5,g,"1 tsp"
"Spices, paprika",1,g,"0.5 tsp"
"Bananas, raw, overripe",110,g,"1 Banana"
"Extra virgin olive oil by OLIO",5,g,"1 tsp"
"Spices, ground, cinnamon",1,g,"0.5 tsp"
"Table salt by FIRST STREET",1,g,"1/8 tsp"
Servings,6
