Ingredient,Amount,Unit,Description
"Eggplant, raw",548,g,"1 eggplant, unpeeled (approx 1-1/4 lb)"
"Extra virgin olive oil by QO",14,g,"1 tbsp"
"Spices, garlic powder",2,g,"1/2 tsp"
"Spices, onion powder",1,g,"1/2 tsp"
"Spices, black, pepper",1,g,"1/4 tsp, ground"
"Salt, table",1,g,"2 dash"
"Chickpeas (garbanzo beans, bengal gram), drained solids, canned, mature seeds",253,g,"15.5oz can"
"Peppers, raw, red, sweet",148,g,"2 small"
"Onions, raw",70,g,"1 small"
"Tomatoes, raw",240,g,"4 Italian tomato"
"Cheese, feta",38,g,"1/4 cup, crumbled"
"Extra virgin olive oil by OLIO",14,g,"1 tbsp"
"White wine vinegar by CIRIO",15,g,"1 tbsp"
"Lemon juice from concentrate, REAL LEMON, bottled",15,g,"1 tbsp"
"Spices, dried, parsley",2,g,"1 tbsp"
"Garlic powder by EL SABOR",1,g,"1/2 tsp"
"Onion powder by STONEMILL",1,g,"1/2 tsp"
"Ground black pepper by Grace Kennedy Co. Ltd",1,g,"1/4 tsp"
"Table salt by FIRST STREET",2,g,"1/4 tsp"
Servings,4
