Ingredient,Amount,Unit,Description
"Rice, raw, long-grain, brown",185,g,"1 cup"
"Water, generic, bottled",474,g,"2 cup"
"Powdered bouillon by Goya Foods, Inc.",8,g,"2 tsp"
"Grape leaves, raw",227,g,"8oz jar"
"Onions, raw",70,g,"1 small"
"Extra virgin olive oil by QO",7.5,g,"1/2 tbsp"
"Salt, table",2,g,"0.25 tsp"
"Turkey, raw, 7% fat, 93% lean, ground",589,g,"1.3 lb"
"Lemon pepper by LA CRIOLLA",6,g,"2 tsp"
"Cumin ground by ROUNDY'S",3,g,"1 tsp"
"Spices, ground, cinnamon",1,g,"1/4 tsp"
"Spices, ground, nutmeg",1,g,"1/4 tsp"
"Spices, ground, cloves",0,g,"1/8 tsp"
"Spices, ground, allspice",0,g,"1/8 tsp"
"Fresh dill weed, fresh",28,g,"1 ounce"
Servings,60
