Nutrient,Amount,Unit,DV
Calories,40,,
"Vitamin A, RAE",14.76,mcg,2 %
"Carotene, alpha",8.79,mcg,
"Carotene, beta",126.73,mcg,
"Cryptoxanthin, beta",30.38,mcg,
"Lutein + zeaxanthin",57.03,mcg,
"Lycopene",0.13,mcg,
"Retinol",2.55,mcg,
"Thiamin [Vitamin B1]",0.032,mg,3 %
"Riboflavin [Vitamin B2]",0.068,mg,5 %
"Niacin [Vitamin B3]",2.839,mg,18 %
"Pantothenic acid [Vitamin B5]",0.458,mg,9 %
"Vitamin B6",0.257,mg,15 %
"Vitamin B12 [Cobalamin]",0.06,mcg,2 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",4.57,mcg,1 %
"Folate, food",4.78,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",0.3,mg,0 %
"Vitamin D",0,mcg,0 %
"Vitamin D3",0,mcg,
"Vitamin E (alpha-tocopherol)",0.38,mg,3 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",0.38,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.07,mg,
"Tocotrienol, alpha",0.02,mg,
"Tocotrienol, beta",0.01,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.01,mg,
"Vitamin K",3.5,mcg,3 %
"Vitamin K1 [Phylloquinone]",1.1,mcg,
"Vitamin K2 [Menaquinone]",2.4,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",3.4,mg,
"Choline",25,mg,5 %
"Calcium",6,mg,0 %
"Copper",0.01,mg,1 %
"Fluoride",0.1,mcg,
"Iron",0.32,mg,2 %
"Magnesium",12.3,mg,3 %
"Manganese",0.091,mg,4 %
"Phosphorus",70.4,mg,6 %
"Potassium",130.8,mg,3 %
"Selenium",6.67,mcg,12 %
"Sodium",151.15,mg,7 %
"Zinc",0.25,mg,2 %
"Protein",6.89,g,14 %
"Alanine",0.403,g,
"Arginine",0.468,g,
"Aspartic acid",0.641,g,
"Cystine",0.07,g,
"Glutamic acid",1.034,g,
"Glycine",0.301,g,
"Histidine",0.247,g,22 %
"Hydroxyproline",0,g,
"Isoleucine",0.333,g,21 %
"Leucine",0.56,g,16 %
"Lysine",0.632,g,20 %
"Methionine",0.17,g,
"Phenylalanine",0.275,g,
"Proline",0.244,g,
"Serine",0.266,g,
"Threonine",0.303,g,19 %
"Tryptophan",0.08,g,20 %
"Tyrosine",0.238,g,
"Valine",0.354,g,18 %
"Phenylalanine + Tyrosine",0.513,g,19 %
"Methionine + Cysteine",0.17,g,11 %
"Carbohydrate",1.1,g,0 %
"Fiber",0.35,g,1 %
"Sugars",0.11,g,
"Fructose",0.04,g,
"Galactose",0.01,g,
"Glucose",0.05,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.01,g,
"Net carbs",0.75,g,
"0.00 g",0.10 g,undefined,23.75
"Fat",0.852,g,1 %
"Saturated fatty acids",0.181,g,1 %
"Butanoic acid",0,g,
"Decanoic acid",0.005,g,
"Docosanoic acid",0.001,g,
"Dodecanoic acid",0.001,g,
"Eicosanoic acid",0,g,
"Heptadecanoic acid",0.001,g,
"Hexadecanoic acid",0.123,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.04,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0.001,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.004,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",0.214,g,
"Cis-hexadecenoic acid",0.024,g,
"Cis-octadecenoic acid",0.183,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.003,g,
"Heptadecenoic acid",0.001,g,
"Hexadecenoic acid",0.024,g,
"Octadecenoic acid",0.186,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.001,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0.002,g,
"Polyunsaturated fatty acids",0.178,g,
"α-linolenic acid n-3 (ALA)",0,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.002,g,
"Linoleic acid n-6 (LA)",0.09,g,
"Docosahexaenoic n-3 acid (DHA)",0.001,g,
"Docosapentaenoic n-3 acid (DPA)",0.002,g,
"Docosatetraenoic acid",0.004,g,
"Eicosadienoic acid",0.003,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0.003,g,
"Eicosapentaenoic n-3 acid (EPA)",0.001,g,
"Eicosatetraenoic acid",0.014,g,
"Octadecadienoic CLAs acid",0,g,
"Octadecadienoic acid",0.143,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.008,g,
"Trans-octadecadienoic acid",0,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0.002,g,
"Fatty acids, total trans-monoenoic",0.002,g,
"Fatty acids, total trans-polyenoic",0,g,
"Cholesterol",20.7,mg,7 %
"Phytosterols",1.07,mg,
"Alcohol, ethyl",0,g,
"Ash",0.75,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",25.5,g,
