Ingredient,Amount,Unit,Description
"Boneless skinless chicken breast",907,g,"2 pound"
"Extra virgin olive oil",14,g,"1 tbsp (15.0 ml) aprx"
"Onion powder",7,g,"3 tsp"
"Garlic powder",9,g,"3 tsp"
"Paprika",7,g,"3 tsp"
"Chili powder",5,g,"2 tsp"
"Salt",6,g,"1 tsp"
"Thyme, dried",1,g,"1 tsp, leaves"
"Onion",70,g,"1 small"
"Cucumber",200,g,"1 regular"
"Tomato",180,g,"3 Italian tomato"
"Romaine lettuce",539,g,"1 head"
"Artichokes",397,g,"14oz can drained"
"Chickpeas, drained and rinsed",253,g,"15.5oz can"
"Roasted red peppers",454,g,"16oz jar drained"
"Feta cheese",150,g,"1 cup, crumbled"
Servings,6
