Nutrient,Amount,Unit,DV
Calories,332,,
"Vitamin A, RAE",147.63,mcg,16 %
"Carotene, alpha",53.61,mcg,
"Carotene, beta",1258,mcg,
"Cryptoxanthin, beta",83.44,mcg,
"Lutein + zeaxanthin",1842.46,mcg,
"Lutein",19.28,mcg,
"Lycopene",0.19,mcg,
"Retinol",36.6,mcg,
"Zeaxanthin",19.2,mcg,
"cis-Lutein/Zeaxanthin",4.78,mcg,
"cis-Lycopene",0,mcg,
"cis-beta-Carotene",0,mcg,
"trans-Lycopene",0,mcg,
"trans-beta-Carotene",0,mcg,
"Thiamin [Vitamin B1]",0.171,mg,14 %
"Riboflavin [Vitamin B2]",0.402,mg,31 %
"Niacin [Vitamin B3]",6.243,mg,39 %
"Pantothenic acid [Vitamin B5]",1.462,mg,29 %
"Vitamin B6",0.62,mg,36 %
"Vitamin B12 [Cobalamin]",1.27,mcg,53 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",112.02,mcg,28 %
"Folate, food",112.57,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",87.6,mg,97 %
"Vitamin D",0.6,mcg,3 %
"Vitamin D2",0,mcg,
"Vitamin D3",0.21,mcg,
"Vitamin E (alpha-tocopherol)",2.53,mg,17 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",2.53,mg,
"Tocopherol, beta",0,mg,
"Tocopherol, delta",0.02,mg,
"Tocopherol, gamma",0.6,mg,
"Tocotrienol, alpha",0.08,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.07,mg,
"Vitamin K",124.2,mcg,104 %
"Vitamin K1 [Phylloquinone]",124.2,mcg,
"Vitamin K2 [Menaquinone]",0,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",7.2,mg,
"Choline",105.3,mg,19 %
"Calcium",206.1,mg,16 %
"Copper",0.2,mg,22 %
"Fluoride",0.1,mcg,
"Iodine",4.12,mcg,3 %
"Iron",3.66,mg,20 %
"Magnesium",54.66,mg,13 %
"Manganese",0.516,mg,22 %
"Phosphorus",296.26,mg,24 %
"Potassium",673.44,mg,14 %
"Selenium",26.14,mcg,48 %
"Sodium",491.41,mg,21 %
"Zinc",3.47,mg,32 %
"Protein",29.3,g,59 %
"Alanine",1.395,g,
"Arginine",1.695,g,
"Aspartic acid",2.278,g,
"Cystine",0.232,g,
"Cysteine",0.03,g,
"Glutamic acid",3.765,g,
"Glycine",1.204,g,
"Histidine",0.654,g,57 %
"Hydroxyproline",0.196,g,
"Isoleucine",1.054,g,68 %
"Leucine",1.828,g,53 %
"Lysine",1.952,g,63 %
"Methionine",0.632,g,
"Phenylalanine",0.918,g,
"Proline",1.084,g,
"Serine",1.023,g,
"Threonine",1.044,g,64 %
"Tryptophan",0.272,g,67 %
"Tyrosine",0.802,g,
"Valine",1.129,g,58 %
"Phenylalanine + Tyrosine",1.72,g,64 %
"Methionine + Cysteine",0.662,g,43 %
"Carbohydrate",23.59,g,9 %
"Fiber",7.07,g,25 %
"Starch",0,g,
"Sugars",2.83,g,
"Fructose",1.54,g,
"Galactose",0,g,
"Glucose",1.47,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",0.19,g,
"Net carbs",16.52,g,
"0.14 g",2.30 g,undefined,15.84
"Fat",15.116,g,19 %
"Saturated fatty acids",4.521,g,23 %
"Butanoic acid",0.003,g,
"Decanoic acid",0.004,g,
"Docosanoic acid",0.002,g,
"Dodecanoic acid",0.012,g,
"Eicosanoic acid",0.007,g,
"Heptadecanoic acid",0.02,g,
"Hexadecanoic acid",1.736,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.64,g,
"Octanoic acid",0.002,g,
"Pentadecanoic acid",0.01,g,
"Tetracosanoic acid",0.001,g,
"Tetradecanoic acid",0.073,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",4.704,g,
"Cis-hexadecenoic acid",0.28,g,
"Cis-octadecenoic acid",2.714,g,
"Docosenoic acid",0.001,g,
"Docosenoic cis acid",0.001,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.028,g,
"Heptadecenoic acid",0.014,g,
"Hexadecenoic acid",0.268,g,
"Octadecenoic acid",2.537,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0.006,g,
"Tetradecenoic acid",0.012,g,
"Trans-hexadecenoic acid",0.006,g,
"Trans-octadecenoic acid",0.073,g,
"Polyunsaturated fatty acids",3.218,g,
"α-linolenic acid n-3 (ALA)",0.12,g,
"γ-linolenic acid n-6 (GLA)",0.01,g,
"Cis,cis-eicosadienoic n-6 acid",0.015,g,
"Linoleic acid n-6 (LA)",2.26,g,
"Docosahexaenoic n-3 acid (DHA)",0.008,g,
"Docosapentaenoic n-3 acid (DPA)",0.01,g,
"Docosatetraenoic acid",0.02,g,
"Eicosadienoic acid",0.011,g,
"Eicosadienoic n-3 acid",0.002,g,
"Eicosadienoic n-6 acid",0.012,g,
"Eicosapentaenoic n-3 acid (EPA)",0.005,g,
"Eicosatetraenoic acid",0.106,g,
"Octadecadienoic CLAs acid",0.013,g,
"Octadecadienoic acid",2.366,g,
"Octadecatetraenoic acid",0.001,g,
"Octadecatrienoic acid",0.292,g,
"Trans-octadecadienoic acid",0.031,g,
"Trans-octadecatrienoic acid",0,g,
"18:2 c",0.12,g,
"18:3 c",0,g,
"20:3 c",0,g,
"Fatty acids, total trans",0.11,g,
"Fatty acids, total trans-monoenoic",0.078,g,
"Fatty acids, total trans-polyenoic",0.031,g,
"Cholesterol",110.84,mg,37 %
"Phytosterols",4.62,mg,
"25-hydroxycholecalciferol",0.05,mcg,
"Alcohol, ethyl",0,g,
"Ash",2.26,g,
"Caffeine",0,mg,
"Carbohydrate, by summation",0.02,g,
"Choline, free",0.05,mg,
"Choline, from glycerophosphocholine",0.02,mg,
"Choline, from phosphocholine",25.9,mg,
"Choline, from phosphotidyl choline",0.02,mg,
"Choline, from sphingomyelin",2.1,mg,
"Cryptoxanthin, alpha",1.09,mcg,
"Nitrogen",0.17,g,
"Theobromine",0,mg,
"Water",231.31,g,
