Ingredient,Amount,Unit,Description
"Onion",210,g,"3 small"
"Bell pepper",222,g,"3 small"
"Extra virgin olive oil",7,g,"1/2 tbsp"
"Salt",0,g,"Pinch"
"Hot sauce",150,g,"1/2cup + 2tbsp"
"Water",78,g,"1/3 cup"
"Honey",14,g,"2 tsp"
"Cornstarch",4,g,"1/2 tbsp"
"Nonfat cottage cheese",77,g,"5 tbsp"
"Boneless skinless chicken breast",904,g,"2 pound"
"Garlic powder",6,g,"2 tsp"
"Black pepper, ground",2,g,"1 tsp"
"Cumin, ground",3,g,"1 tsp"
"Paprika",2,g,"1 tsp"
"Chili powder",3,g,"1 tsp"
"Salt",3,g,"1/2 tsp"
"Extra virgin olive oil",7,g,"1/2 tbsp"
Servings,6
