Ingredient,    Amount,    Unit,    Description
"Chickpeas, drained and rinsed",253,g,"15.5oz can"
"Banana, overripe",440,g,"4 Banana"
"Plain nonfat greek yogurt",123,g,"0.5 cup"
"Natural peanut butter",64,g,"1/4 cup"
"Honey",21,g,"1 tbsp"
"Baking powder",19,g,"4 tsp"
"Vanilla extract",8,g,"2 tsp"
"Liquid stevia or monk fruit",10,g,"2 tsp"
"Almond extract",5,g,"1 tsp"
"Salt",2,g,"0.25 tsp"
"Cocoa powder",50,g,"9 tbsp"
"Powdered peanut butter",60,g,"10 tbsp"
"Whey protein powder, unflavored",30,g,"1 scoop"
"Casein protein powder, unflavored",30,g,"1 scoop"
Servings,    24
