Nutrient,Amount,Unit,DV
Calories,358,,
"Vitamin A, RAE",844.52,mcg,94 %
"Carotene, alpha",33.46,mcg,
"Carotene, beta",9900.67,mcg,
"Cryptoxanthin, beta",112.03,mcg,
"Lutein + zeaxanthin",242.13,mcg,
"Lycopene",0.27,mcg,
"Retinol",13.81,mcg,
"Thiamin [Vitamin B1]",0.248,mg,21 %
"Riboflavin [Vitamin B2]",0.389,mg,30 %
"Niacin [Vitamin B3]",15.436,mg,96 %
"Pantothenic acid [Vitamin B5]",3.209,mg,64 %
"Vitamin B6",1.538,mg,90 %
"Vitamin B12 [Cobalamin]",0.38,mcg,16 %
"Vitamin B12, added",0,mcg,
"Folate, DFE [Vitamin B9]",29.31,mcg,7 %
"Folate, food",29.31,mcg,
"Folic acid",0,mcg,
"Vitamin C [Ascorbic acid]",3.7,mg,4 %
"Vitamin D",0.12,mcg,1 %
"Vitamin D3",0,mcg,
"Vitamin E (alpha-tocopherol)",1.9,mg,13 %
"Vitamin E, added",0,mg,
"Tocopherol, alpha",1.9,mg,
"Tocopherol, beta",0.01,mg,
"Tocopherol, delta",0,mg,
"Tocopherol, gamma",0.26,mg,
"Tocotrienol, alpha",0.09,mg,
"Tocotrienol, beta",0,mg,
"Tocotrienol, delta",0,mg,
"Tocotrienol, gamma",0.03,mg,
"Vitamin K",17.4,mcg,14 %
"Vitamin K1 [Phylloquinone]",4.7,mcg,
"Vitamin K2 [Menaquinone]",12.7,mcg,
"Dihydrophylloquinone",0,mcg,
"Betaine",10.9,mg,
"Choline",142.2,mg,26 %
"Calcium",99.67,mg,8 %
"Copper",0.28,mg,31 %
"Fluoride",0.1,mcg,
"Iron",2.49,mg,14 %
"Magnesium",80.7,mg,19 %
"Manganese",0.707,mg,31 %
"Phosphorus",407.88,mg,33 %
"Potassium",1001.43,mg,21 %
"Selenium",36.38,mcg,66 %
"Sodium",854.3,mg,37 %
"Zinc",1.66,mg,15 %
"Protein",38.06,g,76 %
"Alanine",2.093,g,
"Arginine",2.434,g,
"Aspartic acid",3.723,g,
"Cystine",0.393,g,
"Glutamic acid",5.324,g,
"Glycine",1.605,g,
"Histidine",1.316,g,115 %
"Hydroxyproline",0,g,
"Isoleucine",1.753,g,113 %
"Leucine",2.957,g,86 %
"Lysine",3.372,g,109 %
"Methionine",0.923,g,
"Phenylalanine",1.497,g,
"Proline",1.208,g,
"Serine",1.416,g,
"Threonine",1.636,g,100 %
"Tryptophan",0.467,g,114 %
"Tyrosine",1.281,g,
"Valine",1.888,g,96 %
"Phenylalanine + Tyrosine",2.778,g,103 %
"Methionine + Cysteine",0.923,g,59 %
"Carbohydrate",30.57,g,11 %
"Fiber",5.16,g,18 %
"Starch",14.02,g,
"Sugars",7.48,g,
"Sugars, added",1.5,g,
"Fructose",0.92,g,
"Galactose",0,g,
"Glucose",1.12,g,
"Lactose",0,g,
"Maltose",0,g,
"Sucrose",2.88,g,
"Net carbs",25.41,g,
"0.05 g",0.51 g,undefined,10.14
"Fat",9.455,g,12 %
"Saturated fatty acids",2.085,g,10 %
"Butanoic acid",0.001,g,
"Decanoic acid",0.04,g,
"Docosanoic acid",0.006,g,
"Dodecanoic acid",0.009,g,
"Eicosanoic acid",0.004,g,
"Heptadecanoic acid",0.008,g,
"Hexadecanoic acid",0.663,g,
"Hexanoic acid",0,g,
"Octadecanoic acid",0.21,g,
"Octanoic acid",0,g,
"Pentadecanoic acid",0.005,g,
"Tetracosanoic acid",0,g,
"Tetradecanoic acid",0.027,g,
"Tridecanoic acid",0,g,
"Monounsaturated fatty acids",4.177,g,
"Cis-hexadecenoic acid",0.125,g,
"Cis-octadecenoic acid",0.934,g,
"Docosenoic acid",0,g,
"Docosenoic cis acid",0,g,
"Docosenoic trans acid",0,g,
"Eicosenoic acid",0.015,g,
"Heptadecenoic acid",0.005,g,
"Hexadecenoic acid",0.127,g,
"Octadecenoic acid",0.954,g,
"Pentadecenoic acid",0,g,
"Tetracosenoic cis acid",0,g,
"Tetradecenoic acid",0.007,g,
"Trans-hexadecenoic acid",0,g,
"Trans-octadecenoic acid",0.01,g,
"Polyunsaturated fatty acids",1.311,g,
"α-linolenic acid n-3 (ALA)",0.03,g,
"γ-linolenic acid n-6 (GLA)",0,g,
"Cis,cis-eicosadienoic n-6 acid",0.009,g,
"Linoleic acid n-6 (LA)",0.48,g,
"Docosahexaenoic n-3 acid (DHA)",0.006,g,
"Docosapentaenoic n-3 acid (DPA)",0.009,g,
"Docosatetraenoic acid",0.02,g,
"Eicosadienoic acid",0.019,g,
"Eicosadienoic n-3 acid",0,g,
"Eicosadienoic n-6 acid",0.018,g,
"Eicosapentaenoic n-3 acid (EPA)",0.005,g,
"Eicosatetraenoic acid",0.073,g,
"Octadecadienoic CLAs acid",0.002,g,
"Octadecadienoic acid",0.674,g,
"Octadecatetraenoic acid",0,g,
"Octadecatrienoic acid",0.035,g,
"Trans-octadecadienoic acid",0.002,g,
"Trans-octadecatrienoic acid",0,g,
"Fatty acids, total trans",0.012,g,
"Fatty acids, total trans-monoenoic",0.01,g,
"Fatty acids, total trans-polyenoic",0.002,g,
"Cholesterol",111.82,mg,37 %
"Phytosterols",17.56,mg,
"Alcohol, ethyl",0,g,
"Ash",3.7,g,
"Caffeine",0,mg,
"Theobromine",0,mg,
"Water",206.64,g,
