Ingredient,    Amount,    Unit,    Description
"Whole wheat pasta",227,g,"8 ounce"
"Extra virgin olive oil",14,g,"1 tbsp"
"Onion",70,g,"1 small"
"Minced garlic",10,g,"2 tsp"
"Salt",6,g,"1 tsp"
"Ground turkey, 93/7",589,g,"1.3 lb"
"Garlic powder",6,g,"2 tsp"
"Onion powder",5,g,"2 tsp"
"Oregano, dried",2,g,"1.5 tsp, leaves"
"Basil, dried",1,g,"1.5 tsp, leaves"
"Thyme, dried",2,g,"1.5 tsp, leaves"
"Black pepper, ground",2,g,"1 tsp, ground"
"Diced tomatoes",411,g,"14.5 oz can"
"Shredded mozzarella cheese",56,g,"1/2 cup"
"Panko breadcrumbs",30,g,"1/4 cup"
Servings,    6
